open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume
2025-05-24 20:00:00,108912.7,109084.8,107394.7,107698.9,36431.025,2025-05-24 23:59:59.999,3937100774.4508,564240,15444.299,1669250049.1102
2025-05-25 00:00:00,107699.0,108210.0,107142.0,108045.4,24941.567,2025-05-25 03:59:59.999,2686299931.8279,509552,12481.625,1344492652.1478
2025-05-25 04:00:00,108045.4,108250.1,107387.8,107637.1,14442.712,2025-05-25 07:59:59.999,1557518319.1173,274144,6309.313,680452112.4372
2025-05-25 08:00:00,107637.1,107650.5,106653.0,107214.0,32864.988,2025-05-25 11:59:59.999,3518661414.2821,577823,15648.211,1675300340.7332
2025-05-25 12:00:00,107214.0,107698.4,106497.0,106927.9,33112.095,2025-05-25 15:59:59.999,3548454589.5445,564437,15591.941,1671037133.3676
2025-05-25 16:00:00,106928.0,107888.0,106593.4,107656.3,14416.703,2025-05-25 19:59:59.999,1544895491.8578,327275,7602.156,814653956.3712
2025-05-25 20:00:00,107656.3,109285.1,107118.8,108955.9,39687.738,2025-05-25 23:59:59.999,4303354485.3795,685500,19230.005,2084822757.7443
2025-05-26 00:00:00,108956.0,109856.0,108616.6,109587.0,31295.991,2025-05-26 03:59:59.999,3422709498.1422,561622,15597.723,1705784148.0502
2025-05-26 04:00:00,109587.1,110197.9,109327.4,110049.9,21821.547,2025-05-26 07:59:59.999,2394859782.3181,397180,11076.142,1215753666.3576
2025-05-26 08:00:00,110049.9,110138.8,109500.0,109736.7,14879.39,2025-05-26 11:59:59.999,1632610086.1253,306693,6880.969,754979256.9322
2025-05-26 12:00:00,109736.6,110400.0,109412.9,109963.2,30300.067,2025-05-26 15:59:59.999,3328515826.8924,564501,16235.216,1783648727.2012
2025-05-26 16:00:00,109963.2,110394.7,108807.0,109074.3,34224.496,2025-05-26 19:59:59.999,3742551394.6306,616391,16352.199,1788194705.3675
2025-05-26 20:00:00,109074.4,109863.2,108894.0,109386.8,14470.729,2025-05-26 23:59:59.999,1582019308.2266,330198,7553.44,825831251.0865
2025-05-27 00:00:00,109386.8,109633.8,107438.0,108844.9,51580.633,2025-05-27 03:59:59.999,5593084033.7294,920832,24150.388,2619405863.849
2025-05-27 04:00:00,108845.0,109600.0,108483.0,109488.0,24898.577,2025-05-27 07:59:59.999,2714753665.2982,493516,12861.092,1402339373.4013
2025-05-27 08:00:00,109488.0,109861.5,109366.9,109541.8,22031.647,2025-05-27 11:59:59.999,2415060744.9895,369953,10314.159,1130721295.4472
2025-05-27 12:00:00,109541.9,110700.0,108609.4,110091.3,77612.286,2025-05-27 15:59:59.999,8523596217.5872,1243595,38219.991,4198366608.6169
2025-05-27 16:00:00,110091.3,110459.7,109516.1,109822.8,27423.933,2025-05-27 19:59:59.999,3018302331.8797,586870,13747.43,1513051409.475
2025-05-27 20:00:00,109824.8,109857.6,108533.5,108889.3,20052.829,2025-05-27 23:59:59.999,2188032106.3837,450530,10211.164,1113853439.4394
2025-05-28 00:00:00,108889.2,109252.6,108339.2,108807.6,20569.689,2025-05-28 03:59:59.999,2237352329.3296,427750,10707.737,1164830876.4287
2025-05-28 04:00:00,108807.3,109040.7,108568.7,108764.9,12077.087,2025-05-28 07:59:59.999,1314228049.8214,268687,5998.023,652753390.6604
2025-05-28 08:00:00,108764.9,109076.2,108178.1,108821.4,25977.609,2025-05-28 11:59:59.999,2823322978.7861,435296,12890.37,1401165936.3511
2025-05-28 12:00:00,108821.3,109012.0,107000.0,107065.5,53509.222,2025-05-28 15:59:59.999,5773738726.6431,935584,25339.576,2734402754.9444
2025-05-28 16:00:00,107065.5,107793.0,106881.5,106894.1,25973.073,2025-05-28 19:59:59.999,2789376930.3604,516269,12486.394,1340909799.7594
2025-05-28 20:00:00,106894.0,107999.0,106723.9,107723.1,20311.079,2025-05-28 23:59:59.999,2181376334.9363,426076,10067.991,1081319896.2922
2025-05-29 00:00:00,107723.1,108450.0,107378.6,107996.4,22974.724,2025-05-29 03:59:59.999,2481302029.0047,499706,11313.25,1221900060.9943
2025-05-29 04:00:00,107996.5,108056.8,106877.4,107839.4,21142.095,2025-05-29 07:59:59.999,2273649308.3623,385635,9837.384,1058070102.8279
