entry_time,exit_time,side,entry_price,exit_price,entry_funding,bars_held,pnl_pct,exit_reason
2024-08-12 19:00:00+00:00,2024-08-15 19:00:00+00:00,LONG,59025.9,57255.123,-2.238e-05,18,-3.080000000000003,stop_loss
2024-08-15 19:00:00+00:00,2024-08-16 19:00:00+00:00,LONG,57002.4,59649.2,-6.181e-05,6,4.563313264002911,profit_target
2024-08-19 03:00:00+00:00,2024-08-21 19:00:00+00:00,LONG,58696.6,61538.1,-3.616e-05,12,4.760995900955081,profit_target
2024-08-21 11:00:00+00:00,2024-08-23 19:00:00+00:00,LONG,59332.4,63577.2,-5.91e-06,12,7.0742698424469515,profit_target
2024-08-28 03:00:00+00:00,2024-08-30 19:00:00+00:00,LONG,59597.3,57809.381,-6.803e-05,14,-3.0800000000000027,stop_loss
2024-08-29 19:00:00+00:00,2024-09-01 23:00:00+00:00,LONG,59237.0,57459.89,5.59e-06,18,-3.080000000000001,stop_loss
2024-09-01 19:00:00+00:00,2024-09-04 03:00:00+00:00,LONG,58480.8,56726.376000000004,-3.82e-06,10,-3.0799999999999983,stop_loss
2024-08-30 19:00:00+00:00,2024-09-04 03:00:00+00:00,LONG,58670.1,56909.996999999996,2.927e-05,21,-3.080000000000005,stop_loss
2024-09-05 11:00:00+00:00,2024-09-06 19:00:00+00:00,LONG,56666.1,54966.117,2.025e-05,6,-3.0800000000000005,stop_loss
2024-09-04 03:00:00+00:00,2024-09-06 19:00:00+00:00,LONG,56632.9,54933.913,2.209e-05,14,-3.080000000000002,stop_loss
2024-09-08 19:00:00+00:00,2024-09-09 19:00:00+00:00,LONG,54301.3,57060.1,-5.245e-05,6,5.000541349838762,profit_target
2024-09-07 19:00:00+00:00,2024-09-09 19:00:00+00:00,LONG,54375.0,57060.1,-7.236e-05,12,4.858114942528733,profit_target
2024-09-06 19:00:00+00:00,2024-09-09 19:00:00+00:00,LONG,53515.3,57060.1,1.428e-05,18,6.543900080911432,profit_target
