open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-07-03,108849.59,110529.18,108530.4,109584.78,13047.08225,2025-07-03 23:59:59.999999,1429459048.638326,2568944,6961.89686,763022147.911677,0.0
2025-07-04,109584.77,109767.59,107245.0,107984.24,11793.86615,2025-07-04 23:59:59.999999,1276215111.6683652,1975212,4787.79822,518313226.966756,0.0
2025-07-05,107984.25,108420.56,107756.31,108198.12,3736.9757,2025-07-05 23:59:59.999999,403928702.1967476,710020,1803.68528,194976807.36330113,0.0
2025-07-06,108198.12,109700.0,107800.01,109203.84,6447.607,2025-07-06 23:59:59.999999,700733299.51122,1256591,3209.35902,348780644.233174,0.0
2025-07-07,109203.85,109700.0,107513.2,108262.94,9405.37601,2025-07-07 23:59:59.999999,1020848316.053704,1961940,3920.92229,425664101.8022387,0.0
2025-07-08,108262.94,109216.56,107429.57,108922.98,9216.0208,2025-07-08 23:59:59.999999,1000112813.4398944,1723244,4371.98866,474674358.9974899,0.0
2025-07-09,108922.99,111999.79,108324.53,111233.99,17282.2865,2025-07-09 23:59:59.999999,1902054744.194924,2328484,8935.70327,983405508.7482138,0.0
2025-07-10,111234.0,116868.0,110500.0,116010.0,24883.450665,2025-07-10 23:59:59.999999,2826460280.4452233,3227017,12900.135467,1465777460.9410756,0.0
2025-07-11,116010.01,118869.98,115222.22,117527.66,25873.521148,2025-07-11 23:59:59.999999,3039521803.027247,3708194,12502.931168,1468374333.9502125,0.0
2025-07-12,117527.66,118200.0,116900.05,117420.0,8446.60437,2025-07-12 23:59:59.999999,993093353.4068904,1441851,3784.55219,444996040.90597874,0.0
2025-07-13,117420.0,119488.0,117224.79,119086.64,9550.792947,2025-07-13 23:59:59.999999,1132096857.0116916,1650283,4766.474307,565024389.3723919,0.0
2025-07-14,119086.65,123218.0,118905.18,119841.18,27269.348877,2025-07-14 23:59:59.999999,3299746181.0770736,4076133,14099.580747,1705505292.664724,0.0
2025-07-15,119841.17,119940.83,115736.92,117758.09,32018.46083,2025-07-15 23:59:59.999999,3755258445.553272,3805374,15667.30508,1837578524.9238648,0.0
2025-07-16,117758.08,120063.84,117017.29,118630.43,17039.90851,2025-07-16 23:59:59.999999,2023850383.7234871,2429625,8355.96881,992430971.3675904,0.0
2025-07-17,118630.44,120998.71,117453.57,119177.56,15728.57651,2025-07-17 23:59:59.999999,1869114355.1231644,2347985,7696.17927,914659207.5744278,0.0
2025-07-18,119177.56,120820.71,116812.76,117924.84,19924.66266,2025-07-18 23:59:59.999999,2367355518.470308,2805236,8951.37863,1063782057.4785626,0.0
2025-07-19,117924.84,118499.9,117277.34,117840.0,6635.80306,2025-07-19 23:59:59.999999,783327898.4969696,1133382,2978.3832,351626384.05029035,0.0
2025-07-20,117840.01,118856.8,116467.02,117265.12,12962.92889,2025-07-20 23:59:59.999999,1528864683.816082,1615935,6581.33371,776457462.9818255,0.0
2025-07-21,117265.11,119676.73,116515.0,117380.36,17107.33128,2025-07-21 23:59:59.999999,2020783266.9633648,2509543,8426.31812,995117241.6679094,0.0
2025-07-22,117380.36,120247.8,116128.0,119954.42,20959.12973,2025-07-22 23:59:59.999999,2481252763.6519103,2778733,10811.45507,1280627214.6285224,0.0
2025-07-23,119954.43,120090.0,117301.0,118755.99,14558.75083,2025-07-23 23:59:59.999999,1722126986.886661,2101404,7070.08701,836266328.744683,0.0
2025-07-24,118756.0,119450.0,117103.1,118340.99,15806.89043,2025-07-24 23:59:59.999999,1873181653.2018073,2081435,7651.73992,906619084.6035932,0.0
2025-07-25,118340.98,118451.57,114723.16,117614.31,38406.34873,2025-07-25 23:59:59.999999,4456778786.620495,3282355,17042.77355,1977873720.8964725,0.0
2025-07-26,117614.31,118297.35,117138.38,117919.99,6991.67206,2025-07-26 23:59:59.999999,823629079.7493103,790372,3167.88355,373290310.2164352,0.0
2025-07-27,117919.99,119766.65,117825.5,119415.55,9328.30919,2025-07-27 23:59:59.999999,1107883542.1607983,1095080,5238.30358,622261561.2507277,0.0
2025-07-28,119415.56,119800.0,117427.5,118062.32,13961.74754,2025-07-28 23:59:59.999999,1655882235.896518,1824777,7224.91774,857128354.2234088,0.0
2025-07-29,118062.32,119273.36,116950.75,117950.76,15137.93445,2025-07-29 23:59:59.999999,1788682083.6856463,1956694,7988.93736,944162800.0745872,0.0
2025-07-30,117950.75,118792.0,115796.23,117840.3,15586.73631,2025-07-30 23:59:59.999999,1832696878.222986,1997369,7803.61434,917632890.2336526,0.0
2025-07-31,117840.29,118922.45,115500.0,115764.08,17010.0073,2025-07-31 23:59:59.999999,2002870016.7022424,1859532,8313.51616,979519362.0685424,0.0
2025-08-02,113297.92,114063.49,112003.0,112546.35,11507.33428,2025-08-02 23:59:59.999999,1301882737.326722,2165714,5060.00835,572586383.0717313,
2025-08-03,112546.35,114799.97,111920.0,114208.8,7397.76046,2025-08-03 23:59:59.999999,841090034.1542541,1419281,3738.18331,425246221.2955304,
2025-08-04,114208.81,115720.0,114107.6,115055.03,9667.67916,2025-08-04 23:59:59.999999,1109938874.0629709,1954230,4715.29351,541443274.8093747,
2025-08-05,115055.03,115127.81,112650.0,114129.75,12042.79078,2025-08-05 23:59:59.999999,1371861747.1466167,2581052,5622.66754,640570774.1010684,
2025-08-06,114129.75,115716.0,113355.13,114992.27,9761.15318,2025-08-06 23:59:59.999999,1118028732.8589184,2026500,4872.24748,558193207.677072,
2025-08-07,114992.27,117621.0,114259.0,117472.01,13468.56263,2025-08-07 23:59:59.999999,1564454297.836927,2314671,7008.73753,814088870.444632,
2025-08-08,117472.02,117630.0,115878.71,116674.74,10045.31278,2025-08-08 23:59:59.999999,1172199778.7242548,2095304,4584.90574,534970598.46875024,
2025-08-09,116674.74,117944.05,116299.13,116462.25,9514.13144,2025-08-09 23:59:59.999999,1111837601.7023723,1390951,4869.85416,569228301.1169946,
2025-08-10,116462.25,119311.11,116460.63,119294.01,14322.77073,2025-08-10 23:59:59.999999,1694198747.8718708,2317065,8023.43513,949082473.721322,
2025-08-11,119294.27,122335.16,118050.11,118686.0,26494.33429,2025-08-11 23:59:59.999999,3194611530.541069,4021743,13243.42946,1596640461.643077,
2025-08-12,118686.0,120324.43,118207.47,120134.08,16720.10893,2025-08-12 23:59:59.999999,1992762473.5852575,2737841,9265.05962,1104367998.1961715,
2025-08-13,120134.09,123667.79,118920.92,123306.43,23210.07102,2025-08-13 23:59:59.999999,2811581348.3874574,3712817,11931.26825,1446045988.0483146,
2025-08-14,123306.44,124474.0,117180.0,118295.09,27980.947586,2025-08-14 23:59:59.999999,3359128391.108524,4350449,13402.078476,1608719584.8697336,
2025-08-15,118295.09,119216.82,116803.99,117342.05,13623.33874,2025-08-15 23:59:59.999999,1607609329.6851013,2895016,6141.41708,724799635.8172467,
2025-08-16,117342.04,117898.99,117143.98,117380.66,6393.68117,2025-08-16 23:59:59.999999,751719391.7723638,1179842,2995.22865,352158781.0964551,
2025-08-17,117380.66,118575.0,117172.21,117405.01,5898.64192,2025-08-17 23:59:59.999999,695629197.9038073,1177563,2804.73113,330799448.0903654,
2025-08-18,117405.01,117543.75,114640.14,116227.05,17745.93954,2025-08-18 23:59:59.999999,2053814085.4717777,3346280,7647.70667,885108979.4887484,
2025-08-19,116227.05,116725.69,112732.58,112872.94,18065.47424,2025-08-19 23:59:59.999999,2065010895.8584664,3291182,8609.4137,984093545.594422,
2025-08-20,112872.95,114615.38,112380.0,114271.24,15636.34194,2025-08-20 23:59:59.999999,1776149566.1247735,2998370,7209.58575,819330970.2158619,
2025-08-21,114271.23,114821.76,112015.67,112500.0,10839.69235,2025-08-21 23:59:59.999999,1227373788.615563,2357380,5346.48007,605400341.4544928,
2025-08-22,112500.0,117429.05,111684.79,116935.99,23128.09037,2025-08-22 23:59:59.999999,2656625122.2777863,3438518,11843.59711,1359907711.8726692,
2025-08-23,116936.0,117030.0,114560.0,115438.05,11329.36197,2025-08-23 23:59:59.999999,1308825428.0143583,1559569,5083.35014,587273893.1314433,
2025-08-24,115438.06,115666.68,110680.0,113493.59,21175.98462,2025-08-24 23:59:59.999999,2411284606.189177,2573906,9325.0671,1061855201.3343124,
2025-08-25,113493.59,113667.28,109274.1,110111.98,25182.79379,2025-08-25 23:59:59.999999,2805570653.6310234,4695718,11387.5817,1269662985.34418,
2025-08-26,110111.98,112371.0,108666.66,111763.22,18452.43877,2025-08-26 23:59:59.999999,2033437347.4999392,4077474,9863.43157,1087468493.596964,
2025-08-27,111763.22,112625.0,110345.42,111262.01,13392.60875,2025-08-27 23:59:59.999999,1493774927.190832,3111496,6261.8455,698586344.1774796,
2025-08-28,111262.01,113485.9,110862.42,112566.9,11104.27744,2025-08-28 23:59:59.999999,1250788481.9453218,2066780,5139.46509,578866003.6838148,
2025-08-29,112566.9,112638.64,107463.9,108377.4,22580.31045,2025-08-29 23:59:59.999999,2475492492.5775294,3606959,10616.35644,1164321513.1044571,
2025-08-30,108377.4,108926.15,107350.1,108816.33,10708.39159,2025-08-30 23:59:59.999999,1160666772.7387524,1411040,5797.17783,628457794.843401,
2025-08-31,108816.33,109480.02,108076.93,108246.35,9489.51596,2025-08-31 23:59:59.999999,1031806894.3513318,1366633,4573.61058,497406888.1691883,
